"IDS","NAME","LONGITUDE","LATITUDE","NEAREST_LINE_ID","COMID","ARBOLATESU","SNAP_DIST","DISTFROMNODE","DISTTONODE","DIST_FROMHWKM","GEOMETRY","POINTTYPE"
"Point.820","AZ10307 GLEN CANYON",-111.4842,36.9379,3528927,3528927,186517.422,6.36355716557716,17.1791958374266,61.8876346636348,186517.360112365,"c(456888.914770183, 4088093.95981202)","dam"
"Point.821","AZ00041 KNOLL",-111.085,34.4313,21748159,21748159,7.161,29.9850548270283,787.035624660002,16.6678837753068,7.14433211622469,"c(492160.890052706, 3809976.92017041)","dam"
"Point.822","AZ00136 FORT ROCK RANCH",-113.3277,35.1313,21400715,21400715,1.448,88.5103211877103,1390.36247697613,61.4934544027503,1.38650654559725,"c(287927.110193224, 3889996.35319221)","dam"
"Point.823","CO00884 JUMBO MESA CREEK 5",-108.0928,39.0541,3178906,3178906,3.698,185.884226361616,661.569358535357,3021.83723527328,0.676162764726724,"c(751747.9971084, 4326857.53813716)","dam"
"Point.824","CO00425 LAKE BRENNAND",-107.1054,38.8785,1338030,1338030,3.43,0.658084405932768,524.521662457146,20.1757706902282,3.40982422930977,"c(837872.197203995, 4310506.99897935)","dam"
"Point.825","CO00163 PAXTON",-107.9738,38.2233,18376216,18376216,4.121,224.482383487845,346.621626526287,3227.12726579665,0.893872734203352,"c(765036.158055541, 4234733.8040569)","dam"
"Point.826","CO00611 PAULSON",-107.8572,38.8499,3233233,3233233,3.315,265.910923745742,3101.31102319941,216.855082605457,3.09814491739454,"c(772991.620052189, 4304717.92607941)","dam"
"Point.827","CO00875 DILLON",-106.0621,39.6217,1312847,1312847,456.384,361.706134082582,131.011200193576,525.614500953706,455.858385499046,"c(923551.406119004, 4397432.1139683)","dam"
"Point.828","CO01265 POSO DAM - FDSA",-106.12,40.24,1231087,1231087,6.741,587.532957298873,470.678557266254,3433.80090781369,3.30719909218631,"c(915487.352004397, 4465333.22240573)","dam"
"Point.829","CO00070 ANDERSON #1",-108.1288,39.0299,3230041,3230041,0.563,66.7151030650949,503.24091613678,62.7495267351298,0.50025047326487,"c(748572.88625464, 4323960.34831034)","dam"
"Point.830","NM00257 UPPER GILA VALLEY SITE NO. 10 DAM",-108.5737,33.009,3076731,3076731,31.579,16.6475386610083,2981.14618165781,1324.70738103366,30.2542926189663,"c(726676.214777499, 3654900.45599135)","dam"
"Point.831","NM00273 LAKE ROBERTS DAM",-108.165,33.0311,2430724,2430724,171.488,43.9328375130036,45.1911585620476,17.647310879024,171.470352689121,"c(764796.926024188, 3658264.95811704)","dam"
"Point.832","NM00258 UPPER GILA VALLEY SITE NO. 11 DAM",-108.5956,33.0071,3076735,3076735,11.315,62.1953848086227,10394.861808949,889.315805215154,10.4256841947848,"c(724558.307452714, 3654659.65038024)","dam"
"Point.833","NM00253 UPPER GILA VALLEY SITE NO. 6 DAM",-108.53,33.0033,3080217,3080217,2.376,943.432600187065,627.486309000796,1758.10226903962,0.617897730960384,"c(730804.793428842, 3653420.78380533)","dam"
"Point.834","UT10121 FLAMING GORGE",-109.4219,40.9149,10040912,10040912,28991.492,77.2735763003128,618.173045179389,50.0007387438543,28991.4419992613,"c(632855.364708871, 4530441.87228213)","dam"
"Point.835","UT00133 LITTLE MONTES (OTTESON RESERVOIR)",-109.9299,40.3466,11986449,11986449,23.079,7.47806588065619,699.013733858462,6.36075490321446,23.0726392450968,"c(590880.228248489, 4466769.60344814)","dam"
"Point.836","UT00137 HERMAN-SADLIER",-109.4374,40.4023,1394575,1394575,15.327,9.75374988418936,70.7710756094698,814.460310849964,14.51253968915,"c(632601.135588363, 4473591.90326025)","dam"
"Point.837","UT00535 SHAKESPEAR",-112.0766,37.6149,18264433,18264433,28.443,149.502679999807,2343.40717616534,1339.37056225721,27.1036294377428,"c(405062.007821174, 4163761.08698363)","dam"
"Point.838","WY01389 FONTENELLE",-110.0597,42.0286,18312272,18312272,9069.585,366.149973149513,52.4962841130871,339.540109885615,9069.24545989011,"c(577485.284770703, 4653284.31010584)","dam"
"Point.839","WY01477 DAD DAHL DETENTION # 2 DAM",-107.93,41.28,18272256,18272256,4.094,479.133600178563,129.414835931295,1052.41522351399,3.04158477648601,"c(757344.543131372, 4573968.27039501)","dam"
"Point.840","CO00625 SACKETT",-107.8338,39.0649,3230601,3230601,0.333,135.060058912454,279.662845946984,55.2142930002585,0.277785706999742,"c(774024.407718034, 4328860.80122061)","dam"
"Point.841","AZ00042 BLACK CANYON",-110.698,34.3308,21741014,21741014,18.978,38.6705150513182,128.72730687661,3280.0424589876,15.6979575410124,"c(527780.37982858, 3798915.37610357)","dam"
"Point.842","AZ00067 STOCKTON WASH RETARDING",-109.6883,32.7913,21331411,21331411,521.286,198.836636230235,1164.83277145224,553.667072390706,520.732332927609,"c(623024.499453103, 3628909.25744168)","dam"
"Point.843","AZ10424 HORSESHOE CIENEGA",-109.69,34.037,20486084,20486084,117.493,4.65292311071403,19.5876806643556,294.056557262151,117.198943442738,"c(620923.017095832, 3767030.20484446)","dam"
"Point.844","AZ00061 BIG LAKE",-109.4172,33.8866,20495211,20495211,2.229,80.9664349734176,1539.53166108914,412.09357521381,1.81690642478619,"c(646304.05445608, 3750758.00123934)","dam"
"Point.845","AZ00021 CC CRAGIN",-111.1838,34.5544,21746001,21746001,173.066,49.5926155620683,68.7155070083727,64.4749314032403,173.001525068597,"c(483095.084607981, 3823670.53529225)","dam"
"Point.846","AZ10303 TSAILE",-109.2038,36.2745,1410989,1410989,98.617,164.750562691913,95.8682679200477,525.482331787183,98.0915176682128,"c(661427.942032405, 4016025.88637588)","dam"
"Point.847","AZ00083 MAGMA RETARDING",-111.388,33.1208,21271204,21271204,27.169,13.4038902337313,91.7685474957353,2332.79405570496,24.836205944295,"c(463814.949703941, 3664738.18465485)","dam"
"Point.848","CO00930 KELLY",-106.8622,40.0566,1232897,1232897,6.137,52.53778755461,574.032119139106,121.206502511939,6.01579349748806,"c(852973.188816559, 4442197.69282162)","dam"
"Point.849","CO01698 GRANBY #6",-108.0405,38.9949,3230945,3230945,2.487,761.951706103016,402.412035751493,1492.29263405324,0.994707365946761,"c(755605.524623472, 4320089.3505817)","dam"
"Point.850","CO01934 MARK #1",-108.8505,39.6783,5312818,5312818,18.403,29.373318082835,3473.4159985502,3031.84502067906,15.3711549793209,"c(684373.882820267, 4394272.60777983)","dam"
"Point.851","CO02550 LEONARD THOMAS RESERVOIR",-106.8391,39.1855,1327159,1327159,88.144,318.127450444645,3718.6118872175,2478.86368800041,85.6651363119996,"c(859729.188073908, 4345536.41749525)","dam"
"Point.852","CO00962 BIG BEAVER",-107.6475,39.9702,1345054,1345054,71.77,7.4806433222792,720.629951511234,5.45544213532162,71.7645445578647,"c(786325.442998703, 4429840.56787314)","dam"
"Point.853","CO01037 JERRY CREEK #1",-108.1159,39.1908,3177982,3177982,814.575,472.979604018256,0,480.095782495353,814.094904217505,"c(748868.201238882, 4341495.09100334)","dam"
